iqaluit    ,63.74N,  68.51W
whitehorse ,60.71N, 135.07W
barrow     ,71.32N, 156.62W
eureka     ,80.08N,  86.42W
tiksi      ,71.60N, 128.89E
nyalesund  ,78.92N,  11.53E
sodankyla  ,67.37N,  26.63E
alert      ,82.49N,  62.51W
baranova   ,79.30N, 101.70E
summit     ,72.58N,  38.48W
oliktok    ,70.50N, 149.89W
cherskii   ,68.73N, 161.38E
byrd       ,80.01S, 119.44W
alexander  ,79.01S, 170.72E
vostok     ,78.46S, 106.84E
mcmurdo    ,77.85S, 166.67E
domec      ,75.08S, 123.34E
halley     ,75.58S,  26.66W
jangbogo   ,74.62S, 164.23E
troll      ,72.01S,   2.54E
neumayer   ,70.65S,   8.25W
syowa      ,69.00S,  39.59E
davis      ,68.58S,  77.97E
mawson     ,67.60S,  62.87E
rothera    ,67.57S,  68.13W
casey      ,66.28S, 110.53E
dumont     ,66.66S, 140.01E
kingsejong ,62.22S,  58.79W
Laohugou   ,39.50N, 96.50E
Xidatan    ,35.72N, 94.13E
Tanggula   ,32.58N, 91.86E
Mera       ,27.70N, 86.90E
SHEBA      ,76.00N,  165W
Arctic_Ocean1 ,85.00N, 10E
Arctic_Ocean3 ,81.00N, 135W
